"","age","workclass","fnlwgt","education","educationnum","marital","occupation","relationship","race","sex","capgain","caploss","hoursperweek","nativecountry","incomebin"
"3910",33,"Self-emp-inc",139057,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",0,0,84,"Taiwan",1
"3913",49,"Private",82649,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",5013,0,45,"United-States",0
"3914",48,"Private",109275,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",0
"3918",19,"Private",251579,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,14,"United-States",0
"3933",32,"Local-gov",127651,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",1
"3939",38,"Private",82622,"Some-college",10,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,"United-States",0
"3940",36,"Private",160728,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,60,"United-States",0
"3956",30,"Private",219318,"HS-grad",9,"Never-married","Machine-op-inspct","Other-relative","White","Female",0,0,35,"Puerto-Rico",0
"3976",24,"Private",215251,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,50,"United-States",0
"3983",50,"Private",139464,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,36,"Ireland",0
"3986",20,"Private",122215,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Male",0,0,52,"United-States",0
"3989",52,"Private",192390,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",1
"3990",22,"Private",191324,"Some-college",10,"Never-married","Protective-serv","Own-child","White","Male",0,0,25,"United-States",0
"3994",42,"Private",163003,"Bachelors",13,"Married-spouse-absent","Tech-support","Own-child","Asian-Pac-Islander","Female",0,0,40,"United-States",0
"4003",28,"Private",157391,"Bachelors",13,"Never-married","Sales","Own-child","White","Female",0,0,40,"United-States",0
"4008",64,"Private",102103,"HS-grad",9,"Divorced","Priv-house-serv","Not-in-family","White","Female",0,0,50,"United-States",0
"4011",22,"Private",400966,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,40,"United-States",0
"4014",20,"Private",145917,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,15,"United-States",0
"4015",35,"Local-gov",190226,"HS-grad",9,"Never-married","Protective-serv","Own-child","White","Male",0,0,40,"United-States",0
"4016",28,"Private",356555,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,48,"United-States",0
"4026",44,"Private",222434,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"4032",36,"Private",183612,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United-States",1
"4034",21,"Private",211385,"Assoc-acdm",12,"Never-married","Other-service","Not-in-family","Black","Male",0,0,35,"Jamaica",0
"4036",34,"Self-emp-not-inc",320194,"Prof-school",15,"Separated","Prof-specialty","Unmarried","White","Male",0,0,48,"United-States",1
"4038",28,"Private",312588,"10th",6,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,"United-States",0
"4039",35,"Private",168675,"HS-grad",9,"Separated","Transport-moving","Own-child","White","Male",0,0,50,"United-States",0
"4044",57,"Local-gov",109973,"HS-grad",9,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,"United-States",0
"4052",29,"Self-emp-not-inc",227890,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","Black","Male",0,0,40,"United-States",0
"4056",50,"Self-emp-inc",156623,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",7688,0,50,"Philippines",1
"4064",51,"Private",306785,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
"4065",58,"Self-emp-inc",104333,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Male",0,0,50,"United-States",0
"4074",33,"Private",131776,"Bachelors",13,"Divorced","Prof-specialty","Unmarried","White","Female",914,0,40,"Germany",0
"4077",39,"Self-emp-not-inc",211785,"HS-grad",9,"Never-married","Craft-repair","Own-child","Black","Female",0,0,20,"United-States",0
"4081",19,"?",208874,"Some-college",10,"Never-married","?","Own-child","White","Male",0,0,40,"United-States",0
"4083",52,"Private",202956,"7th-8th",4,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"4084",59,"Self-emp-not-inc",80467,"HS-grad",9,"Divorced","Other-service","Own-child","White","Female",0,0,24,"United-States",0
"4085",28,"Private",407672,"Some-college",10,"Divorced","Craft-repair","Unmarried","White","Female",0,0,40,"United-States",0
"4089",34,"Private",146161,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",1
"4091",19,"?",175499,"11th",7,"Never-married","?","Own-child","White","Female",0,0,30,"United-States",0
"4092",33,"Private",288825,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,2258,84,"United-States",0
"4094",31,"Local-gov",190401,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",0
"4098",40,"Local-gov",244522,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1902,48,"United-States",1
"4102",57,"Private",188330,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,78,"United-States",0
"4107",40,"Private",238329,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Female",0,0,45,"United-States",0
"4108",52,"Private",416129,"Preschool",1,"Married-civ-spouse","Other-service","Not-in-family","White","Male",0,0,40,"El-Salvador",0
"4112",43,"Private",188786,"Some-college",10,"Divorced","Transport-moving","Not-in-family","White","Male",0,0,45,"United-States",0
"4113",38,"State-gov",31352,"Some-college",10,"Divorced","Protective-serv","Unmarried","Amer-Indian-Eskimo","Female",0,0,40,"United-States",1
"4116",34,"Private",275438,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",5178,0,40,"United-States",1
"4117",65,"Private",361721,"Assoc-voc",11,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,20,"United-States",0
"4119",29,"Private",190539,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",6849,0,48,"United-States",0
"4125",25,"Private",511331,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,38,"United-States",0
"4127",56,"Self-emp-not-inc",222182,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","Black","Male",0,0,45,"United-States",0
"4132",41,"Private",221947,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1887,50,"United-States",1
"4135",38,"Private",278253,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,48,"United-States",0
"4138",45,"Private",120131,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1887,40,"United-States",1
"4140",29,"Private",205903,"HS-grad",9,"Never-married","Other-service","Own-child","White","Male",0,0,40,"United-States",0
"4154",47,"Self-emp-inc",175958,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",3325,0,60,"United-States",0
"4160",25,"Private",306666,"Some-college",10,"Married-civ-spouse","Sales","Husband","Black","Male",0,0,45,"United-States",0
"4162",31,"Self-emp-not-inc",226624,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"United-States",0
"4167",18,"Private",41794,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,20,"United-States",0
"4173",46,"Private",324655,"Masters",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1902,40,"?",1
"4174",24,"Private",122272,"Bachelors",13,"Never-married","Farming-fishing","Own-child","White","Female",0,0,40,"United-States",0
"4177",54,"Local-gov",137691,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",1
"4178",41,"Private",84610,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,60,"United-States",1
"4182",63,"Private",154526,"Some-college",10,"Widowed","Other-service","Not-in-family","White","Female",0,0,40,"United-States",0
"4192",26,"Private",76996,"Some-college",10,"Never-married","Machine-op-inspct","Not-in-family","Black","Female",0,0,38,"United-States",0
"4200",18,"Private",127388,"12th",8,"Never-married","Other-service","Not-in-family","White","Female",0,0,25,"United-States",0
"4205",33,"Self-emp-not-inc",155343,"Some-college",10,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,72,"United-States",0
"4208",64,"Private",321166,"Bachelors",13,"Divorced","Sales","Not-in-family","White","Female",0,0,5,"United-States",0
"4211",36,"Private",63509,"Assoc-acdm",12,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,48,"United-States",1
"4220",26,"Private",118736,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,20,"United-States",0
"4221",25,"Private",171114,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,48,"United-States",0
"4227",32,"Private",153963,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,0,35,"United-States",0
"4233",54,"Private",174865,"9th",5,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",1
"4239",61,"Private",195453,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",1
"4252",43,"Private",243476,"HS-grad",9,"Divorced","Tech-support","Not-in-family","White","Female",0,0,40,"United-States",0
"4256",44,"Private",228320,"HS-grad",9,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,45,"United-States",1
"4257",20,"Private",217421,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Other-relative","White","Female",0,0,40,"United-States",0
"4265",49,"Private",204629,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
"4269",36,"Private",281021,"HS-grad",9,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,45,"United-States",0
"4275",30,"Local-gov",73796,"Bachelors",13,"Separated","Prof-specialty","Not-in-family","White","Female",0,0,40,"United-States",0
"4279",59,"Private",656036,"Bachelors",13,"Separated","Adm-clerical","Unmarried","White","Male",0,0,60,"United-States",0
"4287",32,"Private",175413,"HS-grad",9,"Never-married","Adm-clerical","Other-relative","Black","Female",0,0,40,"Jamaica",0
"4290",23,"Private",208598,"Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,0,45,"United-States",0
"4295",28,"Private",212640,"Prof-school",15,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,85,"United-States",0
"4328",46,"Private",205100,"Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,48,"United-States",1
"4340",46,"Federal-gov",162187,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",1
"4342",36,"Private",172538,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,52,"United-States",1
"4345",51,"Private",162632,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",7298,0,60,"United-States",1
"4347",54,"Private",100933,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States",0
"4370",22,"?",211968,"Some-college",10,"Never-married","?","Own-child","White","Female",0,0,40,"Iran",0
"4379",45,"Private",178215,"9th",5,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",0,0,40,"United-States",1
"4383",49,"Private",148398,"HS-grad",9,"Divorced","Machine-op-inspct","Not-in-family","Black","Female",0,0,40,"United-States",0
"4384",20,"Private",133515,"Some-college",10,"Never-married","Sales","Other-relative","White","Female",0,0,40,"United-States",0
"4387",53,"Federal-gov",174040,"Some-college",10,"Separated","Craft-repair","Not-in-family","Black","Male",0,0,40,"United-States",0
"4392",30,"Private",425627,"Some-college",10,"Never-married","Craft-repair","Other-relative","White","Male",0,0,40,"Mexico",0
"4395",39,"Private",140854,"HS-grad",9,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,50,"United-States",0
"4398",54,"Private",282680,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,50,"United-States",0
"4400",25,"Private",198163,"HS-grad",9,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"United-States",0
"4406",45,"Private",102096,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"?",1
"4417",21,"Private",214716,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,10,"United-States",0
"4420",35,"Private",341643,"Bachelors",13,"Never-married","Other-service","Other-relative","White","Male",0,0,50,"United-States",0
"4422",53,"Private",88842,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",99999,0,40,"United-States",1
"4423",56,"?",128900,"Some-college",10,"Widowed","?","Not-in-family","Black","Female",0,0,40,"United-States",0
"4438",56,"?",132930,"Masters",14,"Never-married","?","Not-in-family","White","Female",0,0,50,"United-States",1
"4442",43,"Self-emp-inc",286750,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,0,99,"United-States",1
"4446",57,"Local-gov",52267,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",1
"4447",49,"Private",119182,"HS-grad",9,"Separated","Other-service","Not-in-family","Black","Female",0,0,35,"United-States",0
"4448",25,"Private",191230,"Some-college",10,"Never-married","Exec-managerial","Own-child","White","Female",0,0,40,"Yugoslavia",0
"4450",56,"Private",184553,"10th",6,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,56,"United-States",0
"4454",25,"Private",106889,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,30,"United-States",0
"4460",37,"State-gov",46814,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,38,"United-States",0
"4463",28,"Private",309620,"Some-college",10,"Married-civ-spouse","Sales","Husband","Other","Male",0,0,60,"?",0
"4476",53,"State-gov",143822,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,36,"United-States",1
"4486",27,"Private",219371,"HS-grad",9,"Married-spouse-absent","Adm-clerical","Unmarried","White","Female",0,0,40,"Jamaica",0
"4493",37,"Local-gov",233825,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",15024,0,50,"United-States",1
"4494",25,"Private",73839,"11th",7,"Divorced","Sales","Own-child","White","Female",0,0,40,"United-States",0
"4499",35,"Private",150125,"Assoc-voc",11,"Divorced","Other-service","Unmarried","Black","Female",0,0,40,"United-States",0
"4509",25,"Private",218136,"Some-college",10,"Never-married","Handlers-cleaners","Not-in-family","Black","Male",0,0,40,"Outlying-US(Guam-USVI-etc)",0
"4510",20,"Self-emp-inc",182200,"HS-grad",9,"Never-married","Machine-op-inspct","Own-child","White","Female",0,0,30,"United-States",0
"4511",46,"Private",39363,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,10,"?",0
"4518",47,"Private",197836,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,45,"United-States",0
"4524",57,"Local-gov",148509,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,35,"India",0
"4526",27,"Private",126060,"HS-grad",9,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"United-States",0
"4540",57,"State-gov",32694,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",1
"4541",41,"Private",95047,"Assoc-voc",11,"Married-civ-spouse","Adm-clerical","Wife","White","Female",7688,0,44,"United-States",1
"4551",38,"Self-emp-not-inc",108947,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",7688,0,40,"United-States",1
"4552",25,"State-gov",261979,"HS-grad",9,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States",0
"4556",41,"Private",67339,"11th",7,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",7688,0,40,"United-States",1
"4558",33,"Private",208180,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Female",0,0,40,"United-States",0
"4566",55,"Private",80445,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"4567",31,"Private",379798,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",1
"4571",58,"Private",233193,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,27,"United-States",0
"4574",21,"Private",688355,"HS-grad",9,"Never-married","Adm-clerical","Unmarried","Black","Female",0,0,40,"United-States",0
"4577",43,"Private",122975,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Wife","Black","Female",0,0,21,"Trinadad&Tobago",0
"4580",43,"Private",108945,"Some-college",10,"Divorced","Prof-specialty","Unmarried","White","Female",0,0,38,"United-States",0
"4582",57,"Private",188872,"5th-6th",3,"Divorced","Transport-moving","Unmarried","White","Male",6497,0,40,"United-States",0
"4588",65,"Private",143554,"Some-college",10,"Separated","Adm-clerical","Not-in-family","White","Female",0,0,38,"United-States",0
"4591",26,"Private",164018,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",4064,0,50,"United-States",0
"4592",25,"Private",210184,"11th",7,"Separated","Craft-repair","Own-child","White","Male",0,0,40,"United-States",0
"4597",39,"Self-emp-not-inc",247975,"Some-college",10,"Never-married","Craft-repair","Not-in-family","Asian-Pac-Islander","Male",0,0,30,"United-States",0
"4598",55,"Private",50164,"Doctorate",16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States",1
"4605",26,"Private",171114,"Assoc-voc",11,"Separated","Adm-clerical","Unmarried","White","Female",0,0,35,"United-States",0
"4610",37,"Local-gov",34173,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,25,"United-States",0
"4613",38,"Private",136081,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",1
"4622",18,"?",191117,"11th",7,"Never-married","?","Own-child","White","Male",0,0,25,"United-States",0
"4634",47,"Private",121958,"7th-8th",4,"Married-spouse-absent","Other-service","Unmarried","White","Female",0,0,30,"United-States",0
"4635",41,"Private",282948,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","Black","Male",3137,0,40,"United-States",0
"4643",21,"Private",315065,"7th-8th",4,"Never-married","Other-service","Other-relative","White","Male",0,0,48,"Mexico",0
"4651",31,"Private",73514,"HS-grad",9,"Never-married","Sales","Own-child","Asian-Pac-Islander","Female",0,0,40,"United-States",0
"4654",30,"Private",155343,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",5013,0,40,"United-States",0
"4656",19,"?",124884,"9th",5,"Never-married","?","Not-in-family","White","Female",0,0,25,"United-States",0
"4658",53,"Private",113995,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"United-States",1
"4659",18,"Private",146378,"Some-college",10,"Never-married","Other-service","Own-child","White","Female",0,0,40,"?",0
"4663",33,"Local-gov",147654,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"United-States",0
"4675",62,"Self-emp-not-inc",123170,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,10,"United-States",0
"4680",21,"Private",123727,"HS-grad",9,"Never-married","Exec-managerial","Other-relative","White","Female",0,0,40,"United-States",0
"4681",39,"Private",173175,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,50,"United-States",1
"4683",29,"Private",250967,"Assoc-voc",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",0
"4684",27,"Federal-gov",285432,"Assoc-acdm",12,"Never-married","Transport-moving","Not-in-family","Black","Male",0,0,40,"United-States",0
"4686",34,"?",317219,"Some-college",10,"Married-civ-spouse","?","Wife","White","Female",0,0,20,"United-States",1
"4691",29,"Private",376680,"HS-grad",9,"Never-married","Tech-support","Own-child","Black","Male",0,0,40,"United-States",0
"4699",23,"Private",155919,"9th",5,"Married-spouse-absent","Craft-repair","Not-in-family","White","Male",0,0,40,"Mexico",0
"4705",60,"Self-emp-not-inc",88570,"Assoc-voc",11,"Married-civ-spouse","Transport-moving","Wife","White","Female",0,0,15,"Germany",1
"4707",48,"Private",216292,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,0,43,"United-States",0
"4710",38,"Private",179668,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"United-States",1
"4714",32,"Federal-gov",125856,"HS-grad",9,"Divorced","Craft-repair","Unmarried","White","Male",0,0,40,"United-States",0
"4724",31,"Private",211334,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",2407,0,65,"United-States",0
"4731",55,"Local-gov",219775,"HS-grad",9,"Divorced","Other-service","Unmarried","White","Female",0,0,38,"United-States",0
"4736",22,"Private",324637,"Some-college",10,"Never-married","Sales","Not-in-family","White","Male",0,0,42,"United-States",0
"4737",25,"Private",163620,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",7298,0,84,"United-States",1
"4738",29,"Private",194200,"Some-college",10,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,45,"United-States",0
"4743",30,"Local-gov",226443,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1887,45,"United-States",1
"4752",23,"Private",302195,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",0
"4753",60,"?",199947,"HS-grad",9,"Married-civ-spouse","?","Husband","White","Male",0,0,32,"United-States",0
"4760",76,"Private",97077,"10th",6,"Widowed","Sales","Unmarried","Black","Female",0,0,12,"United-States",0
"4762",32,"Federal-gov",127651,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",1
"4764",31,"Federal-gov",206823,"Bachelors",13,"Divorced","Protective-serv","Not-in-family","White","Male",0,0,50,"United-States",1
"4772",34,"Local-gov",43959,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,50,"United-States",0
"4787",24,"Private",184400,"HS-grad",9,"Never-married","Transport-moving","Own-child","Asian-Pac-Islander","Male",0,0,30,"?",0
"4801",29,"Private",319149,"12th",8,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"Mexico",0
"4808",42,"Local-gov",195124,"11th",7,"Divorced","Sales","Unmarried","White","Male",7430,0,50,"Puerto-Rico",1
"4825",47,"Private",379118,"HS-grad",9,"Divorced","Other-service","Unmarried","Black","Male",0,0,9,"United-States",0
"4827",20,"Private",147171,"Some-college",10,"Never-married","Adm-clerical","Unmarried","Asian-Pac-Islander","Female",0,0,40,"Vietnam",0
"4829",31,"Private",193650,"11th",7,"Divorced","Other-service","Not-in-family","White","Female",0,0,40,"United-States",0
"4831",52,"Private",188644,"5th-6th",3,"Married-spouse-absent","Craft-repair","Other-relative","White","Male",0,0,40,"Mexico",0
"4835",81,"Private",364099,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,20,"United-States",0
"4837",57,"Federal-gov",97837,"Some-college",10,"Divorced","Prof-specialty","Not-in-family","White","Male",0,0,48,"United-States",1
"4838",34,"Private",117983,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States",0
"4863",35,"Private",46385,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",5178,0,90,"United-States",1
"4865",23,"Private",183327,"HS-grad",9,"Never-married","Craft-repair","Own-child","Black","Female",0,1594,20,"United-States",0
"4866",32,"State-gov",182556,"Bachelors",13,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,1887,45,"United-States",1
"4871",42,"Self-emp-not-inc",174216,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,38,"United-States",1
"4880",42,"State-gov",55764,"Assoc-acdm",12,"Divorced","Prof-specialty","Not-in-family","Black","Male",0,0,40,"United-States",0
"4882",25,"Private",308144,"Bachelors",13,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"Mexico",0
"4885",26,"?",176077,"Some-college",10,"Never-married","?","Unmarried","White","Female",0,0,40,"United-States",0
"4886",45,"Self-emp-inc",142719,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
"4902",45,"Local-gov",197332,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"United-States",0
"4905",17,"Private",57324,"10th",6,"Never-married","Other-service","Own-child","White","Male",0,0,30,"United-States",0
"4907",45,"Private",154430,"Bachelors",13,"Widowed","Prof-specialty","Not-in-family","White","Female",10520,0,50,"United-States",1
"4914",23,"Private",256755,"Bachelors",13,"Never-married","Handlers-cleaners","Other-relative","White","Female",0,0,40,"Cuba",0
"4919",41,"Self-emp-not-inc",443508,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",0
"4920",23,"Private",244408,"Some-college",10,"Never-married","Adm-clerical","Other-relative","Asian-Pac-Islander","Female",0,0,24,"Vietnam",0
"4921",41,"Private",178983,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",0
"4927",29,"Private",119170,"Some-college",10,"Separated","Tech-support","Unmarried","White","Female",0,0,40,"United-States",0
"4928",21,"Private",207923,"Some-college",10,"Married-spouse-absent","Adm-clerical","Own-child","White","Female",0,0,15,"United-States",0
"4943",17,"?",139183,"10th",6,"Never-married","?","Own-child","White","Female",0,0,15,"United-States",0
"4945",46,"Private",117849,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",15024,0,40,"United-States",1
"4946",38,"Local-gov",225605,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,44,"United-States",0
"4947",24,"Private",190290,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,60,"United-States",0
"4948",49,"Private",164799,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"United-States",1
"4951",63,"Self-emp-inc",272425,"Assoc-voc",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"United-States",1
"4953",45,"Self-emp-inc",204205,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",1
"4958",25,"Private",108779,"Masters",14,"Separated","Other-service","Own-child","White","Female",0,0,40,"United-States",0
"4970",19,"Private",29250,"Some-college",10,"Never-married","Prof-specialty","Own-child","White","Male",0,0,10,"United-States",0
"4978",55,"Private",414994,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States",0
"4980",34,"Private",499249,"HS-grad",9,"Married-spouse-absent","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"Guatemala",0
"4986",29,"Private",299705,"Some-college",10,"Never-married","Handlers-cleaners","Unmarried","Black","Male",0,0,37,"United-States",0
"4988",47,"Local-gov",39986,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"United-States",0
"4989",43,"Self-emp-inc",135342,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"United-States",1
"4991",33,"Self-emp-not-inc",118267,"Assoc-acdm",12,"Divorced","Sales","Not-in-family","White","Male",0,0,60,"United-States",0
"4995",39,"Private",214816,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"United-States",0
"5029",52,"Private",416164,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","Other","Male",0,0,49,"Mexico",0
"5032",63,"Self-emp-not-inc",147589,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,30,"United-States",1
