"","Are.entrepreneurs.born.or.made.","When.you.think.of.an.entrepreneur.which.word.comes.to.your.mind...select.one.","Main.influence.on.career.choice","Was.the.reason.for.leaving.your.previous.organization.employment.an.end.of.contract.","Lack.of.shared.information","No.urgency.to.finish","Little.motivation.to.produce","Low.quality.standards","Discrimination","To.overcome.career.barriers","Didn.t.fit.into.corporate.cultures","Left.for.more.respect","Left.to.be.in.charge","Left.to.regain.excitement","Left.to.get.recognition","Left.to.make.it.on.my.own","For.self.esteem","To.become.an.entrepreneur","For.freedom","To.balance.family.and.work","To.control.my.time","For.the.last.years.our.firm.had.produced.many.new.products.services","In.general..our.firm.was.very.often.the.first.to.introduce.new.products.services","Facing.competition..our.firm.normally.engaged.aggressive.actions.over.the.competitors","In.general..our.firm.adopted.a.very.competitive.posture.to.beat.the.competitors","In.general..our.firm.had.a.strong.emphasis.on.high.risk.projects.with.uncertain.returns","In.order.to.achieve.the.firm.s.objectives..the.impact.of.the.business.environment.caused.our.firm.to.adopt.strong.and.fearless.measures","In.case.of.insecure.decision.making.situations..our.firm.adopted.a.fearless.and.aggressive.position.to.increase.the.chance.of.exploiting.potential.opportunities","Our.firm.put.on.strong.emphasis.on.R.D.and.innovation.instead.of.focusing.on.marketing.of.current.products.services","The.changes.in.new.product.services.in.our.firm.were.quite.dramatic","RC2","RC1","RC3"
"132","No response","Hard-working","Personal experience","Yes",7,6,7,7,7,7,7,7,4,7,7,4,7,7,7,1,4,7,5,3,3,3,1,4,4,4,-0.340058886532609,-0.422785796665762,2.62442520452026
"133","Made","Motivated","The economy","No",5,3,6,5,6,5,6,5,6,7,3,7,7,6,6,7,6,6,6,6,6,7,6,6,6,4,1.33180388661839,0.931296852184114,0.0907740341885199
"134","No response","Motivated","The economy","No",6,5,6,5,5,6,5,7,6,6,6,5,6,4,6,4,4,5,3,4,4,5,6,5,5,4,0.375386869396673,0.0177803346650239,1.11535252683742
"135","Born","Ambitious","Family or friends","No",4,3,6,5,7,3,2,6,3,3,3,4,4,7,7,3,3,5,2,2,4,3,3,3,4,3,-0.629257208599147,-0.377467374306916,0.295976413765019
"136","Born","Risk-taker","Personal experience","Yes",4,6,2,4,1,4,5,5,5,5,5,5,5,4,6,2,5,5,5,3,2,3,4,5,4,4,0.000681071630505097,0.266421640709941,-0.368150664582521
"137","Made","Hard-working","Personal experience","No",1,4,7,7,7,4,7,7,4,7,4,4,7,7,7,7,7,1,1,1,1,1,1,1,1,1,-2.97907494386638,1.46489248430057,0.973983846355831
"138","Made","Risk-taker","Personal experience","No",3,3,5,4,1,6,5,4,4,4,4,6,5,1,6,7,5,4,2,3,4,3,3,4,2,2,-0.806479318722517,0.604660007788408,-0.647655670285025
"139","Made","Risk-taker","Personal experience","No",7,5,5,5,7,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,1.02816290736141,1.19292672526909,0.845754747779767
"140","Made","Hard-working","Careers guidance","Yes",3,2,2,2,5,6,3,5,5,6,6,6,6,5,3,2,4,6,5,4,6,3,3,3,5,5,0.520788010330041,0.133918785035273,-0.687378132213128
"141","Born","Risk-taker","Personal experience","No",6,4,4,4,5,7,3,2,2,2,2,2,2,3,5,3,3,5,3,3,4,1,3,2,3,4,-0.287113466388611,-1.31131679954252,0.0751252938010242
"142","Made","Ambitious","Personal experience","Yes",6,3,3,6,3,6,6,4,6,7,7,7,7,7,7,7,6,4,6,6,6,6,4,6,3,3,0.569963786531215,1.55665409178859,-0.203093692554891
"143","Made","Risk-taker","Personal experience","No",1,1,5,1,1,4,2,5,3,4,5,1,2,1,1,1,3,5,5,4,3,1,4,2,2,4,-0.152429136181519,-1.58862301985427,-0.845842301818923
"144","Made","Risk-taker","Teachers or studies","Yes",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,6,6,3,5,7,3,1.05990709394888,-2.03409806176489,-2.56837151238944
"145","Born","Ambitious","Family or friends","Yes",5,3,5,5,2,4,3,3,6,6,6,3,5,3,5,7,4,4,2,2,2,1,2,2,5,2,-1.29260034106017,0.37291048616886,-0.0643873902013324
"146","Made","Hard-working","Personal experience","No",3,4,6,4,5,4,3,4,4,4,3,5,5,3,5,5,4,5,4,4,4,5,5,5,6,4,0.556480293345804,-0.23285341296277,-0.278235547515815
"147","Born","Ready and prepared","Personal experience","No",3,4,7,7,1,5,7,6,4,7,6,6,6,6,6,1,4,4,4,4,4,4,4,4,5,4,-0.111803289751557,0.226149663616668,0.711269023800611
"148","Made","Ambitious","Family or friends","No",2,2,1,1,1,5,6,2,2,7,4,1,4,1,4,6,6,6,7,5,7,3,4,5,4,4,1.11081511944463,-0.0476795054074382,-1.90243846184898
"149","Born","Risk-taker","Personal experience","No",2,3,4,6,4,3,2,3,3,3,4,3,4,3,3,2,2,3,4,3,5,3,3,4,4,4,-0.0893026890070611,-1.14987353875351,-0.368036945143476
"150","Made","Hard-working","The economy","Yes",2,2,5,2,1,5,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,1,3,3,2,2,-0.453361054027201,-2.13565062249173,-1.21896266988148
"151","Made","Hard-working","Family or friends","Yes",5,5,7,3,4,4,4,4,4,4,4,4,4,5,5,6,5,4,4,5,5,5,6,4,4,4,0.528662502219829,-0.0652737189098539,-0.0630747386939111
"152","Born","Risk-taker","The economy","No",4,4,4,4,4,4,5,4,4,4,4,4,4,7,7,4,7,4,4,4,4,4,4,4,4,4,-0.0320785942124442,0.622646358881648,-0.505602673559825
"153","Made","Motivated","Family or friends","Yes",3,3,4,5,2,6,2,6,6,6,6,3,7,3,6,6,6,4,5,5,4,5,5,3,3,3,-0.0285173422488433,0.748815247933435,-0.425401510445828
"154","Made","Ambitious","Personal experience","No",4,4,3,5,5,5,5,5,5,5,5,5,5,6,5,6,5,4,3,5,4,5,5,5,5,3,0.252863806385376,0.53280597730459,-0.165943358590032
"155","Made","Ambitious","Careers guidance","No",6,5,5,5,5,5,5,5,6,5,5,6,5,6,6,3,5,4,4,4,4,4,5,4,4,4,0.0646286010626018,0.321763936818415,0.56261411542634
"156","Born","Successful","Family or friends","No",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,2,3,5,5,0.820619392466262,0.867308705685334,2.00008399479874
"157","Made","Ambitious","Personal experience","No",5,2,5,7,7,2,2,3,1,2,1,1,1,1,1,1,4,2,2,3,2,1,2,1,1,1,-1.54726564359123,-2.27156028041256,0.538580985092748
"158","Made","Hard-working","Family or friends","Yes",3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,-1.6205436391229,-2.1141226188737,-1.18159416187011
"159","Born","Hard-working","Personal experience","No",6,6,6,6,1,6,7,7,7,7,7,5,7,7,7,5,7,4,4,1,7,4,7,7,6,2,0.315764504284172,1.48007157261229,0.545513799355424
"160","Made","Hard-working","Desire","No",1,4,5,6,7,4,5,2,2,6,2,2,1,1,4,7,5,1,1,1,1,1,1,1,1,1,-2.49940985153503,-0.382692947295813,0.161163284391339
"161","Made","Hard-working","Personal experience","No",4,1,2,6,6,7,6,6,7,6,4,6,6,6,6,7,6,6,7,5,4,7,6,5,5,4,0.999579899684281,0.933333714226229,-0.122755877907459
"162","Made","Ambitious","The economy","Yes",7,1,4,7,1,7,1,1,1,7,1,7,7,7,7,1,7,7,7,7,7,1,7,7,4,1,1.40366133807858,0.966855083730077,-1.64133760784491
"163","Made","Ambitious","The economy","Yes",7,1,4,7,1,7,1,1,1,7,1,7,7,7,7,1,7,7,7,7,7,1,7,7,4,1,1.40366133807858,0.966855083730077,-1.64133760784491
"164","Made","Successful","Family or friends","No",3,6,6,4,7,4,5,5,7,4,2,7,3,7,7,6,6,1,1,3,2,1,1,1,2,2,-2.20319280821535,1.25169340719485,0.229786900040077
"165","No response","Successful","Careers guidance","Yes",1,1,1,1,2,4,2,2,2,4,4,1,4,1,3,1,3,2,2,2,2,1,1,1,3,1,-1.55639983696989,-0.62519119410575,-1.75793386635295
"166","No response","Hard-working","Teachers or studies","Yes",4,4,6,6,6,4,5,5,5,6,5,4,3,3,5,6,6,4,4,1,1,2,1,4,6,4,-1.02279317861025,-0.0577709076751761,0.945952249896096
"167","Born","Risk-taker","The economy","Yes",5,6,6,4,5,6,7,6,4,5,6,7,3,2,4,5,6,6,5,5,7,5,7,3,6,7,1.41266203673202,-0.408019276682383,0.772031876248734
"168","Made","Ambitious","The economy","Yes",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.808617781821256,-0.00641225820994347,0.432575052491201
"169","Made","Motivated","Personal experience","No",2,6,2,5,2,2,5,2,5,6,6,5,2,6,5,6,6,6,4,2,2,2,2,2,4,3,-0.835195818461509,0.746398788156267,-0.772801980173385
"170","Made","Risk-taker","Personal experience","No",1,1,3,1,2,7,3,1,1,7,5,2,2,1,4,1,4,4,4,1,2,4,1,1,4,2,-0.975427040095574,-0.568513413352821,-1.27728454963464
"171","Made","Motivated","Personal experience","No",4,4,7,7,7,3,7,4,1,5,1,2,5,1,4,1,1,4,4,1,1,4,2,2,2,1,-1.32069597795868,-2.01254997578481,1.68380164428456
"172","Born","Risk-taker","Personal experience","No",5,4,7,6,6,6,6,6,4,7,3,3,7,5,4,6,3,4,4,4,4,4,4,3,3,3,-0.345991635063927,-0.331869624271113,1.32276804691506
"173","Made","Risk-taker","Personal experience","No",2,4,4,2,1,5,5,2,5,5,2,7,4,4,6,6,6,4,4,4,5,3,3,5,6,3,0.126963072203579,1.21561998501731,-1.75888693038686
"174","Born","passionate","Personal experience","No",5,5,6,6,6,7,2,4,4,5,4,1,1,1,1,1,1,7,5,2,3,6,3,2,5,3,0.297731745987734,-2.71187804591129,1.62225450645979
"175","Made","Motivated","Personal experience","No",3,3,4,4,3,3,4,3,4,4,3,5,3,4,4,4,5,4,5,5,4,5,4,5,4,5,0.554742535612395,-0.249999594415529,-0.838934728820682
"176","No response","Motivated","The economy","Yes",5,4,4,4,5,5,6,5,5,5,5,5,5,4,4,4,5,3,5,3,4,6,4,3,3,3,-0.190775538773923,-0.0210821230987232,0.394184350144922
"177","No response","Risk-taker","Personal experience","No",5,1,4,4,5,3,7,7,7,7,7,7,7,7,7,1,7,1,1,1,1,1,1,1,1,1,-2.78954131694649,1.69249240693711,0.410719185420934
"178","Born","Motivated","The economy","No",3,3,2,4,5,5,4,6,6,7,7,3,4,3,6,6,7,4,3,3,4,3,4,4,4,2,-0.556390627495949,0.863138937716565,-0.397787196809718
"179","No response","Risk-taker","The economy","No",4,5,2,4,4,4,4,4,4,4,4,4,4,7,6,6,6,4,4,4,4,4,4,4,4,4,0.0660673398090808,0.639036124504028,-0.756559805988777
"180","Born","Ambitious","Teachers or studies","Yes",5,3,4,6,5,6,6,5,7,7,5,6,5,6,4,6,5,5,5,5,4,2,4,1,4,6,-0.0710270807361904,0.482609918539739,0.585336843475026
"181","Made","Hard-working","The economy","Yes",4,5,5,5,7,5,6,7,5,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,-0.332233166357228,1.50111349033241,0.631515739725512
"182","Made","Risk-taker","Teachers or studies","No",4,3,5,4,4,5,4,5,3,4,2,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4,-0.48249369607536,-0.643893470626256,-0.0141390791412476
"183","Made","Ambitious","The economy","Yes",6,5,6,6,4,7,7,4,6,6,6,6,7,7,7,7,7,6,5,5,5,4,3,6,6,4,0.515468411632226,1.20876506158438,0.651892430809212
"184","Made","Hard-working","Personal experience","No",2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,5,4,4,3,4,3,4,3,3,3,4,-0.0760860946620204,-1.14931814796182,-1.5668957726042
"185","Born","LEADER","The economy","No",1,1,1,1,7,1,1,1,4,7,1,5,3,1,7,7,7,1,7,1,7,1,6,3,7,2,-0.059565185370086,1.4268568712871,-3.08499519503205
"186","Made","Cutting corners","Teachers or studies","No",3,4,7,7,1,1,3,1,1,5,1,1,6,1,1,1,1,4,7,7,6,4,3,2,5,2,0.667823629827103,-2.13116460885541,-0.178205454513408
"187","Made","Risk-taker","Personal experience","No",3,4,2,4,3,3,4,4,3,5,4,5,4,3,4,3,3,5,4,5,5,5,5,4,4,3,0.588922439612432,-0.450671244964816,-0.836058093063583
"188","Made","Hard-working","Family or friends","Yes",1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,3,1,2,2,3,4,3,4,2,2,2,-0.552240805542596,-1.64681087452403,-2.09930491447416
"189","Made","Risk-taker","Opportunity","Yes",6,6,6,6,6,6,1,1,7,7,1,7,7,7,7,7,7,5,5,5,5,5,5,5,6,6,0.825931737596371,1.44578887903982,-0.326633779809985
"190","Born","Risk-taker","The economy","No",2,2,4,4,2,4,1,7,2,6,7,4,7,1,1,4,4,5,5,5,5,3,4,4,7,3,0.605154279250877,-0.533705710471609,-0.627018412589761
"191","No response","Risk-taker","The economy","Yes",6,5,5,6,4,6,5,6,5,6,5,6,5,7,5,6,6,4,5,5,5,4,5,5,5,5,0.584033770058311,0.598856722292449,0.519675959712924
"192","Born","Risk-taker","The economy","No",5,4,5,4,4,4,4,4,4,5,3,6,2,5,3,2,5,4,4,4,4,4,4,4,4,4,0.172107414583351,-0.461418693046459,-0.0692037811063657
"193","Born","Rich","Personal experience","No",4,2,5,3,4,5,6,5,5,3,3,4,5,2,5,2,3,4,3,4,5,2,4,3,2,2,-0.448180427968736,-0.571228035192751,-0.0383617688870347
"194","Born","Motivated","Personal experience","Yes",5,4,6,5,5,5,6,6,6,4,5,4,7,6,6,6,5,5,5,4,5,5,4,5,5,5,0.482862542359704,0.256749668781774,0.721886931969197
"195","No response","Ambitious","Personal experience","No",7,5,7,6,7,6,7,7,7,7,6,7,6,4,7,6,6,3,4,4,5,4,5,4,4,4,-0.191822153379814,0.792875145525574,1.60207397597578
"196","Made","Ambitious","The economy","Yes",5,5,4,5,4,6,5,5,6,5,5,5,6,5,5,5,5,3,2,3,3,3,3,3,3,4,-0.867919115196424,0.541582930866941,0.459074850444705
"197","Made","Risk-taker","Personal experience","No",4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,1,1,4,4,4,4,4,4,4,-0.458628676184609,-0.032447865352689,-0.342941021847836
"198","No response","Rich","The economy","No",7,4,3,3,2,6,7,5,4,4,4,4,4,4,4,4,4,3,5,5,5,4,4,5,5,5,0.726514162701459,-0.470265286820151,0.057765077423791
"199","Made","Risk-taker","The economy","Yes",4,4,5,3,5,4,5,5,3,4,3,4,4,4,4,5,5,5,5,4,3,4,5,3,3,5,0.207817203836481,-0.479581879050095,0.030657107090751
"200","Made","Motivated","Teachers or studies","Yes",5,4,7,5,5,4,5,5,6,5,5,5,4,6,4,6,5,5,5,4,5,3,5,6,5,6,0.68389023563742,-0.0510313596087284,0.593868215269719
"201","No response","Risk-taker","Personal experience","No",4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.11219739097577,-0.495068983767701,0.115997745095986
"202","Made","Successful","The economy","No",5,4,3,3,6,6,4,5,6,4,5,3,5,3,3,2,4,5,4,5,2,2,4,6,5,6,0.498414695038988,-0.840369262905599,0.422320104864563
"203","Born","Rich","Family or friends","Yes",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.111061705594686,-0.349219342833873,-0.334537343827764
"204","Made","Ambitious","The economy","No",4,4,5,4,5,5,3,4,5,6,5,5,6,4,6,6,6,5,4,5,4,4,4,5,3,6,0.278394473754532,0.570217912260525,-0.151057953015333
"205","Made","Rich","Personal experience","Yes",5,4,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,4,3,4,4,4,5,5,5,4,0.203721334430781,0.338040262235719,-0.111425857251976
"207","Made","Risk-taker","Personal experience","Yes",5,5,3,6,6,5,5,4,4,4,4,4,3,4,2,4,4,6,6,6,6,6,6,6,4,6,1.70623930414697,-1.25437164165442,0.458721194545565
"208","No response","Risk-taker","Personal experience","Yes",1,2,2,2,3,3,3,4,4,3,3,4,3,2,3,3,3,4,4,3,2,3,3,3,3,3,-0.480827609186152,-0.616352551130283,-1.27857781507356
"209","Born","Motivated","Personal experience","No",5,5,3,3,2,6,3,5,4,5,6,6,7,4,6,5,6,6,5,3,2,6,6,5,3,5,0.484462883539958,0.709512893072807,-0.442652680468385
"210","Made","Risk-taker","Personal experience","Yes",6,3,3,5,5,3,3,5,5,6,5,5,5,4,3,3,4,5,5,6,6,5,5,5,3,4,0.901496092555555,-0.485404081286947,0.00177804807932806
